"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"Bliksem 666","Metal",21/07/2011,"22:00","23:00","Kinky Star, Vlasmarkt 9, Gent",0,50
"Kameroad & Schoaveling; redders van het Gentse dialect ?","Gent beleeft de grootste crisis sinds zijn ontstaan; het dreigt zijn taal te verliezen.Kameroad en Schoaveling kruipen in de huid van de koppige en fiere Gentenaar die strijd voert om zijn dialect te beschermen tegen allerlei invloeden..",19/07/2011,"20:00","22:00","Turnzaal Oefenschool Wispelberg Coupure Rechts 54, 9000 Gent, Coupure 54, Gent",1,50
"...Senza Che??? - Piano C (IT)","Een dynamisch duo dat niets bezit maar in alles een mogelijkheid ziet om hun vrijheid ten volle te beleven. Hun poëzie doet je nadenken en de bizarre situaties waarin ze belanden maken je gegarandeerd aan het lachen.",22/07/2011,"16:00","16:40","Spaanskasteelplein , Gent",0,1000
"Moneim Adwan, ud & zang & Salam Shaban, ud & zang","Arabische luitliederen",21/07/2011,"15:00","16:30","Refter van de Sint-Baafsabdij, Gandastraat zn, Gent",0,1000
"Ontbijt","Uitgebreid ontbijtbuffet (verse koeken, broodjes, omeletten, spek, fruitsap, koffie, thee enz...) Reservatie bevestigd bij betaling en afhaling kaarten. Zitplaatsen verzekerd !",21/07/2011,"09:00","10:15","Brasserie Het Volk, Poel 7, Gent",0,50
"Vier zonder ruuk deur 't Spelleke van Dei Kluite","Een nieuwe revue, veur alle  gruute kientsjes die Gent kenne en Gents verstoan mee stijte muile Pierke Pierlala in d'uuftrolle.",24/07/2011,"22:00","23:30","Lakenmetershuis/Willemsfonds -Vrijdagsmarkt, Vrijdagmarkt 24-25, Gent",1,1000
"Portie Mix – Weg (try-out)","Een sprankelend Vlaams cabaretduo dat ijzingwekkend mooie liedjes combineert met frisse sketches en een portie onnozelheid. Na één van hun allereerste optredens noemde CuttingEdge hen al “veelbelovend”. Ontdek ze voor de Nederlanders hen inpikken!",24/07/2011,"22:00","23:15","Hof Van Ryhove, Onderstraat 20, Gent",1,100
"Snuisteren in de Oude Kalevallei: Fiets- of wandelzoektocht voor groot en klein.","Slechts een paar kilometer van Gent centrum verwijderd, werd een verborgen parel toegankelijk gemaakt voor het publiek, de Oude Kalevallei. Tijdens de Gentse feesten kunnen klein en groot dit prachtige landschap op een speelse manier gaan ontdekken!",20/07/2011,"00:00","00:00","Drongenplein 1, Drongen",0,1000
"Hotel Jarretelle","De langbenige Pascale Platel verhuurt u graag een kamer voor de nacht en gluurt met u door het sleutelgat naar haar extravagante gasten. Delicieuse dames, burlesque bunnies en drinks on the rocks, welkom in onze cabareteske suite deluxe!",25/07/2011,"20:00","21:30","Balzaal, Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000
"Boottocht met Hanneke Tanneke Toverheks + gratis ijsje. Duur 40 min.","Vaar mee met Hanneke Tanneke: een lelijke, vrolijke, superslordige heks die de Gentse wateren tijdens de Feesten onveilig maakt. Kleuters en kinderen tot 8 jaar helpen Hanneke om een heel speciale toverdrank te brouwen.",25/07/2011,"11:00","11:40","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Bij de buren op bezoek!","Een wandeling door de wijk Sluizeken met bezoek aan een Turkse kruidenier en bazaar. De wijk illustreert de samenlevingsopbouw met vallen en opstaan van twee culturen. In de moskee hoort u het verhaal over het beleven van de Islam door Gentse moslims.",21/07/2011,"14:00","17:00","Café Trefpunt, Bij Sint-Jacobs 18, Gent",0,50
"Tentoonstelling Compostela","De figuur van Sint Jacob en de bedevaarten naar Compostela in het volksgeloof",17/07/2011,"14:30","17:30","Sint-Jacobskerk, Bij Sint-Jacobs , Gent",0,1000
"Portus Ganda + Oude Dokken per boot met gratis ijsje. Duur: 1u45","Met gids van Kraanlei, door sluis, via Portus Ganda, De Pauw-doorgang en Dampoort naar de Oude Dokken met zijn schitterend stadsvernieuwingsproject en terug. Voor echte kurieuzeneuzen! Tickets afhalen vanaf 1 uur vóór afvaart.",25/07/2011,"17:30","19:15","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,100
"'Rechtspraak en gerechtigheid.' Themarondleiding in het Stadhuis.","In het stadhuis werd vroeger recht gesproken. Opvallend is het labyrint in de Pacificatiezaal. Die banmijl kon een aantal keren worden afgelegd als straf voor sommige overtreders van de wet.",23/07/2011,"15:30","16:15","Stadhuis, Botermarkt 1, Gent",0,50
"Snuisteren in de Oude Kalevallei: Fiets- of wandelzoektocht voor groot en klein.","Slechts een paar kilometer van Gent centrum verwijderd, werd een verborgen parel toegankelijk gemaakt voor het publiek, de Oude Kalevallei. Tijdens de Gentse feesten kunnen klein en groot dit prachtige landschap op een speelse manier gaan ontdekken!",22/07/2011,"00:00","00:00","Drongenplein 1, Drongen",0,1000
"5 eeuwen sociale zorg in Gent. ","Van Keizer Karel tot ons huidig OCMW, een historische en sociale evolutie. Gastvrouw: Senator Dr. Elke Sleurs.",24/07/2011,"10:30","12:30","Pacificatiehuis, Burgstraat 55, Gent",0,50
"Kuitbeen (workshop) - WiSPER (BE) - betalend","Een workshop van Isabelle Handschoenserker waarbij de deelnemers op zoek gaan naar beelden en theatrale vormen. Voor wie houdt van beweging en het absurde.",18/07/2011,"14:00","16:00","Astridpark, Ferdinand Lousbergskaai , Gent",0,50
"Tentoonstelling ""Die Essenz der Dinge""","In deze tentoonstelling staan designobjecten die ""de kunst van het reduceren""  illustreren centraal. Vormgeving herleiden tot het essentiële is van alle tijden, maar wat betekent dit in een periode van economische crisis?",20/07/2011,"10:00","18:00","Design Museum Gent, Jan Breydelstraat 5, Gent",0,1000
"Workshops voor kinderen in de Etnografische Verzamelingen","Kruip in de huid van een heuse ontdekkingsreiziger. Verken de wereld aan de hand van voorwerpen en verhalen.   Speel spelletjes van verre volkeren. Zo kom je te weten hoe kinderen zich daar amuseren en groot worden. Ouders welkom. Schrijf tijdig in!",24/07/2011,"14:00","15:00","Het Pand, Onderbergen 1, Gent",0,50
"Hier spreekt men Gentsch 2","Revue vol humor, zang, dans en muziek met fragmenten uit de shows van Romain Deconinck en Leo Martin. Met Fred Geirnaert, Pat Remue, Betty Bouckaert & Blue Lady Christelle. Muzikale omlijsting: Rudy Hammond. Ballet o.l.v. Stephanie Dequin.",19/07/2011,"17:30","20:00","Theater SCALA, Dendermondsesteenweg 163-165, Gent",1,5000
"Cabaret Best","Na Cabaret één, Cabaret-wee, Cabaret-te-rie, Cabaret Fier en Cabaret de Vijfde sluiten ze hun jarenlange samenwerking af met Cabaret Best. Elk van de acteurs brengt twee van hun favoriet nummers uit de voorbije jaren. En ze zingen ook!",17/07/2011,"19:30","21:10","Tinnenpot, Tinnenpotstraat 21, Gent",0,1000
"Hans Mortelmans & Groep","Hans Mortelmans & Groep is een akoestisch kwartet, in 2005 gevormd rond de liedschrijver-gitarist Hans Mortelmans. Stijl: Wannes Van de Velde, Georges Brassens en Django Reinhardt.",22/07/2011,"20:00","21:00","Monasterium Poortackere, Oude Houtlei 56, Gent",0,1000
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",24/07/2011,"16:00","16:45","Sint-Baafssite, Gandastraat , Gent",0,50
"ZAALTEKSTEN voor  kinderen","Zaalteksten voor kinderen van 6 tot 12 jaar",22/07/2011,"10:00","18:00","Museum voor Schone Kunsten, Citadelpark , Gent",0,50
"Zoektocht in het Miljoenenkwartier (zonder gids)","Vandaag is het Miljoenenkwartier een mondaine woonwijk, net geen 100 jaar geleden was hier een Wereldtentoonstelling. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",25/07/2011,"00:00","00:00","Kortrijksesteenweg /, Gent",0,50
"Freddy De Vadder - Freddy gaat naar de bakker","Freddy is klaar voor een volgende hoofdstuk in zijn hoogstpersoonlijke autobiografische cabaret en iedereen is het er al lang over eens: het wordt zoals altijd een verrassend hilarische trip!    Dinner seats: € 60",17/07/2011,"20:00","22:30","CAPITOLE GENT, Graaf van Vlaanderenplein 5, Gent",1,5000
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",20/07/2011,"12:30","14:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"Going back @ The Zodiac","DJ Glenn D: Het beste van de laatste decennia Dress-code: trendy chic",23/07/2011,"23:00","05:00","Zodiac, Heilige-Geeststraat 3, Gent",1,1000
"Markt in nieuwe koopwaar - Edmond van Beverenplein","Markt in nieuwe koopwaar",24/07/2011,"07:00","13:00","Edmond van Beverenplein, Edmond van Beverenplein zn, Gent",0,50
"Kameroad en Schoaveling onderwijzen in het Gents","2 dagen animatie Circo Daparro met ""Kameroad en Schoaveling onderwijzen Gents""",20/07/2011,"14:30","16:30","School van Toen, Klein Raamhof 8, Gent",1,50
"Filmvoorstelling 'The Age of STUPID'","THE AGE OF STUPID    De grootste klimaatfilm sinds ""An Inconvenient Truth""",16/07/2011,"15:30","17:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Kinderactiviteit : vijverwriemels","Neem zelf een waterstaal uit de vijver en onderzoek het onder een microscoop. Dagelijks om 9u stipt. Ingang via Plantentuin.Reserveren nodig.",18/07/2011,"09:00","10:20","Museum voor Dierkunde, Karel Lodewijk Ledeganckstraat 35, Gent",0,50
"CLUB FM 104.5fm & FAMILYRADIO 105.7fm","10 dagen ""Live"" radio vanop de Gentse Feesten, dagelijks van 15u - 22u.",24/07/2011,"14:00","22:00","Oude Vismijn, Sint-Veerleplein 5, Gent",0,100
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",22/07/2011,"19:30","20:15","Sint-Baafssite, Gandastraat , Gent",0,50
"Café-Chantant","Een mengelmoes van Gentse liedjes. Zitplaats niet verzekerd zonder ontbijt",17/07/2011,"11:00","13:00","Brasserie Het Volk, Poel 7, Gent",0,50
"Cendres - La Chouing (FR)","Twee broers die de laatste wens van hun overleden moeder in vervulling willen brengen: een geschikte echtgenote vinden. Maar zal dit lukken?",23/07/2011,"22:00","22:45","Spaanskasteelplein , Gent",0,100
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",22/07/2011,"14:30","16:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"Kunst ten huize van Valérie van Pottelsberghe de la Potterie.","Het publiek maakt enkele scènes mee uit het leven van gravin Valérie Van Pottelsberghe de la Potterie en haar dochter Lucie in 1888.",18/07/2011,"14:00","16:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"Evenement Druk onder stoom","Het MIAT heeft een indrukwekkende historische drukkerij. Enthousiaste vrijwilligers werken aan de drukmachines. Geniet ook van 'drukken' in filmfragmenten uit diverse documentaires en langspeelfilms.",20/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"Animatie aan Sint-Pieterrsstatie","Presentatie met animatie n.a.v. de zevende verjaardag van de Sosseteit van de Gensche Manneke Pies Twielink",21/07/2011,"18:00","19:00","Onder de luifel van het Sint-Pietersstation, Koningin Maria Hendrikaplein 1, Gent",0,100
"Stadhuis van Gent","Geleid bezoek aan het Stadhuis met aandacht voor Rechtspraak en Gerechtigheid. In samenwerking met de Dienst Monumentenzorg en Architectuur. Inschrijven niet nodig.",22/07/2011,"17:30","18:55","Stadhuis, Botermarkt 1, Gent",0,50
"Kim Meyns (B - Antwerpen) en Ann Van Vlimmeren (B - Lier)","Orgel en zang",22/07/2011,"15:00","16:00","Sint-Michielskerk, Sint-Michielsplein 1, Gent",0,1000
"Jorge Macchi | Music Stands Still","Het S.M.A.K. brengt de eerste grote mid-career overzichtstentoonstelling van de Argentijnse kunstenaar Jorge Macchi (1963, Buenos Aires).",21/07/2011,"10:00","18:00","S.M.A.K., Citadelpark 2, Gent",0,50
"Gentsche lachbuut : lachen zonder reden op de Gentse binnenwateren met gratis Vedettbiertje!","Lachen, de sport voor de luie mens! We varen rond in volle Gentsche feestenzone en betrekken je actief en zonder moppen bij het aanstekelijke 'lachen zonder reden'. De ideale opwarmer voor de Gentse Feesten. Duoticket lach & zangboot op zelfde avond :20€",21/07/2011,"19:30","20:30","Rederij De Gentenaar bij het Dreupelkot, Groentenmarkt , Gent",0,50
"De generaelen staet van een goede famielde in Gent","Het publiek maakt enkele scènes mee uit het leven van graaf en gravin d'Hane de Steenhuyse en hun personeel in 1808.",20/07/2011,"10:30","12:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"Straat 27","Werken van Nina Stoupina in haar eigen galerij.",16/07/2011,"14:00","18:00","Galerij Nina Stoupina, Burgstraat 101, Gent",1,50
"Ka-Bal: danstheater met live muziek","Ka-Bal combineert live muziek met dans in telkens drie korte voorstellingen per avond, gebracht door een schare Belgische en internationale artiesten voor wie geen uitdaging te veel is.",23/07/2011,"20:00","21:00","Minnemeers (NT2Gent), Minnemeers 9, Gent",0,50000
"Tangram en andere traditionele kinderspelletjes uit China in de Etnografische Verzamelingen","TANGRAM is een Chinees legspel waarbij figuren kunnen worden gevormd uit geometrische stukken. Met zo’n puzzelstuk in de hand speuren en spelen tussen de museumstukken en in de omsloten kloostertuin.   Ouders zijn welkom!",21/07/2011,"11:00","12:30","Het Pand, Onderbergen 1, Gent",0,50
"CONFLICTEN: Gent, de sociale strijd.","In de 19de eeuw is Gent de grootste industriestad van Vlaanderen. Arbeiders vechten voor betere voorwaarden, en een menswaardig bestaan. Fabrieken verlaten het centrum en beluiken moeten wijken voor grootse stadsvernieuwingen. Rondleiding,res. niet nodig",22/07/2011,"10:00","12:00","Edward Anseeleplein, Waaistraat -, Gent",0,50
"Historische rondvaart doorheen het middeleeuwse centrum + gratis ijsje. Duur: 50 min.","Gent centrum per boot. Gids aan boord. Om de 15 minuten vertrekt er een boot.",24/07/2011,"10:00","00:00","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Sissie Parker With Dance Team: Trip Around The World (Travestie Revue)","Nieuwe travestie revue, Trip Around The World. Wij nemen U mee rond de wereld met een dance team en 3 travestie's, vol glitter, dans, en showkostuum's. Een 2 uur durend spektakel. Zaal voorzien van airco en gratis parking.",18/07/2011,"20:00","23:00","De Kring S.I.V.I, Maïsstraat 20, Gent",0,100
"Zoektocht in het Miljoenenkwartier (zonder gids)","Vandaag is het Miljoenenkwartier een mondaine woonwijk, net geen 100 jaar geleden was hier een Wereldtentoonstelling. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",17/07/2011,"00:00","00:00","Kortrijksesteenweg /, Gent",0,50
"Expo Matchbox on tour","Matchbox is een tentoonstellingsproject op wielen, in de tuin van het MIAT. De Nederlandse Conny Kuilboer en de Russische Nina Stoupina zullen samenwerken. Met feestelijke opening op zondagmiddag 17 juli.",21/07/2011,"14:00","17:00","MIAT, Minnemeers 9, Gent",0,50
"Gyneacologe Marleen Temmerman","Spraakmakende gesprekken met opvallende Gentenaars",24/07/2011,"13:00","14:00","EFTC , Trommelstraat 1 te Gent, Trommelstraat 1, Gent",1,100
"Nils Holgersson 5+","In deze vertelling kruip je samen met Nils op de rug van een gans en beleef je een wonderbaarlijke reis vol grappige interactie, betoverende geluidsdecors en poëtische beelden.",18/07/2011,"17:00","17:55","Toren van Babel, Bargiekaai 1, Gent",0,1000
"Dacart","Dacart is een tentoonstelling, georganiseerd door het dagactiviteitencentrum van Zonnehoeve|Living+. De werken die worden getoond zijn de werken, gemaakt door onze cliënten. Het gaat over beeldend werk, schilderijen, collages… Alle werken zijn te koop.",16/07/2011,"15:00","22:00","Turnzaal Secundair Kunstinstituut Stad Gent, Ottogracht 4, Gent",1,1000
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",22/07/2011,"15:15","16:00","Sint-Baafssite, Gandastraat , Gent",0,50
"Test","Test",16/07/2011,"13:00","16:00","Afkikker, Sint-Kwintensberg 52, Gent",0,50
"Theeconcert - Erika Pauwels","Erika Pauwels in samenwerking met de Dienst Feestelijkheden. Zij presenteert jong zangtalent in opera-, operette- en musicalfragmenten.",21/07/2011,"15:00","17:00","Vlaamse Opera, Schouwburgstraat , Gent",0,50
"Museumspel Het Blote Knieënspel","Een zoektocht naar het leven van vroeger. Wat at een rijk kind? Hoe zag een bakkersoven er uit? Waar werkten de kinderen? Met een doeboekje ga je van speelkast naar speelkast. Van 6 tot 12 jaar.",17/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,50
"Spel van de slotenmaker","Kinderen tussen 7 en 12 jaar leren in een speelse en interactieve wandeling boordevol weetjes het belfort beter kennen. Je gaat er op zoek naar de enige echte sleutel die past op de schat van het secreet.",22/07/2011,"10:00","17:00","Belfort, Sint-Baafsplein , Gent",0,50
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",21/07/2011,"14:30","15:15","Sint-Baafssite, Gandastraat , Gent",0,50
"Rondleidingen in de Etnografische Verzamelingen: Levenswijsheid en geluk! Verrassende voorwerpen uit het traditionele China","Enthousiaste gidsen vertellen bijzondere verhalen over voorwerpen uit het vroegere China. Ga mee op avontuur in de rijke wereld van de Aziatische cultuur en kom in contact met de oosterse wijze van denken en leven en raak vertrouwd met hun esthetiek.",16/07/2011,"14:00","15:30","Het Pand, Onderbergen 1, Gent",0,50
"Dacart","Dacart is een tentoonstelling, georganiseerd door het dagactiviteitencentrum van Zonnehoeve|Living+. De werken die worden getoond zijn de werken, gemaakt door onze cliënten. Het gaat over beeldend werk, schilderijen, collages… Alle werken zijn te koop.",24/07/2011,"15:00","22:00","Turnzaal Secundair Kunstinstituut Stad Gent, Ottogracht 4, Gent",1,1000
"Movieguide Alison","Alison is een virtueel avontuur doorheen de geschiedenis van de Gentse Sint-Pietersabdij. Dit bezoek is bijzonder geschikt voor gezinnen met kinderen. Mysterieus, raadselachtig, verrassend. Een onalledaags cultuurhistorisch avontuur.",24/07/2011,"10:00","18:00","Kunsthal Sint-Pietersabdij, Sint-Pietersplein 9, Gent",0,50
"St. Jacobskerk","De 4de grote Kerk van de Gentsche Kuip is de St Jacobskerk, vertrekpunt voor de bedevaarders naar Compostella. De sacramentenstoren, de grafmonumenten, de straalkapellen o.a. van de Trinitariërs of Slavenvrijkopers maken van deze kerk een geheel.",21/07/2011,"10:00","11:30","Kerk Sint Jacobs, ingang kant Rommelmarkt, Bij Sint-Jacobs -, Gent",0,50
"Lieven Tavernier","Lieven Tavernier boetseert breekbare liedjes die je laten wegdromen. Wonderlijk, ontroerend, pakkend, mild, scherp en accuraat.",21/07/2011,"22:00","23:30","Monasterium Poortackere, Oude Houtlei 56, Gent",0,1000
"Canso de Joana","Jeanne, de laatste gravin van Toulouse, wordt als kind uitgehuwelijkt om een eind te maken aan de 'kathaarse kwestie'. Muziek: Stefaan Craeynest  -  Cello: Janna Lenoir",20/07/2011,"17:30","18:30","Hof Van Ryhove, Onderstraat 20, Gent",1,50
"Leugens, muziek en rozen in de Bourgoyen","Geleide wandeling in 't schuunste groen van Gent: de Bourgoyen. Met aandacht voor de wilde roos, de Gentse soort van het jaar. Opgelet: de gidsen vertellen leugens! Wie ze detecteert heeft prijs!  Met levende muziek van Luiz Marquez en Moussa Dembélè.",21/07/2011,"14:00","17:00","Natuur- en Milieucentrum De Bourgoyen, Driepikkelstraat 32, Mariakerke",0,100
"Belfortcafé","De deuren van de Lakenhalle staan voor de gelegenheid van de Gentse Feesten open voor de dorstigen onder ons!",21/07/2011,"13:00","18:00","Belfort, Sint-Baafsplein , Gent",1,100
"Kuitbeen (workshop) - WiSPER (BE) - betalend","Een workshop van Isabelle Handschoenserker waarbij de deelnemers op zoek gaan naar beelden en theatrale vormen. Voor wie houdt van beweging en het absurde.",22/07/2011,"14:00","16:00","Astridpark, Ferdinand Lousbergskaai , Gent",0,50
"Fotografietentoonstelling Ground van Bruno Stevens","Fotojournalist Bruno Stevens brengt in een 100-tal foto’s het resultaat van de ontmoetingen en gebeurtenissen van de voorbije 10  jaar in het Midden-Oosten. Deze foto’s verschenen in bvb. The Sunday Times, Newsweek, Paris-Match, etc.",16/07/2011,"10:00","18:00","Kunsthal Sint-Pietersabdij, Sint-Pietersplein 9, Gent",0,50
"Feestoog","Ontdek bij FEESTOOG de nieuwste manier van feestvieren!!!!  Onverwachte oplossingen, antwoorden op nooit eerder gestelde vragen, smaakmakende suggesties met een blijvende impakt.  Feesten zonder stress-vorming en live-muziek.",17/07/2011,"19:30","21:00","Tinnenpot, Tinnenpotstraat 21, Gent",1,1000
"Van Wilders tot de ware Finnen: Over de opmars van extreem-rechts en (rechts) politiek populisme in Europa.","met o.a. Maarten Van Rossem, Jos Vandervelpen en Elsbeth Etty",18/07/2011,"14:00","18:00","Minnemeers (NT2Gent), Minnemeers 9, Gent",0,50
"Buffetformule of BBQ","Soep, saladebar, 10 verschillende Hoofdschotels, diverse desserten. Reservatie bevestigd bij betaling en afhaling kaarten. Zitplaatsen verzekerd !",17/07/2011,"17:30","22:00","Brasserie Het Volk, Poel 7, Gent",0,50
"Rondleiding door de tentoonstelling van Taptoes erfgoed","Luk De Bruyker, stichter en bezieler van Theater Taptoe, neemt zijn publiek op sleeptouw door de rijke Taptoe- geschiedenis. Een boeiende tocht met veel anekdotes.",24/07/2011,"11:00","12:00","Provinciehuis, Gouvernementstraat 1, Gent",1,50
" “Mee smoak”: Ecologisch-culinaire wandeling door het stadscentrum met een knipoog naar de Wereld","Gent is multicultureel en dat beleef je op deze wandeling.  Streekeigen of exotische hapjes, geserveerd met een sappig verhaal en een link naar natuur, cultuur of duurzame ontwikkeling loodsen je doorheen het centrum",24/07/2011,"14:00","16:30","Botermarkt, afspraak aan de trappen voor het stadhuis, Botermarkt z/n, Gent",0,50
"De Ark van Noach - Eco-kunst van William Sweetlove","William Sweetlove is een autoriteit op gebied van kunst uit gerecycleerde materialen. Via zijn kunstwerken, die niet wars zijn van een vleugje humor en ironie, pleit hij voor een meer verantwoord-ecologische aanpak van de wereld.",22/07/2011,"10:00","17:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,100
"Levenswijsheid en geluk! Verrassende voorwerpen uit het traditionele China in de Etnografische Verzamelingen","Een tijdelijke presentatie van kleurrijke kimono's, kunstige kalligrafieën, mysterieuze miniatuurtheatertjes en andere betoverende authentieke voorwerpen die oosterse ideeën over geluk en wijsheid verbeelden. Maak kennis met boeiende Chinese kunst.",19/07/2011,"11:00","17:00","Het Pand, Onderbergen 1, Gent",0,50
"De Ark van Noach - Eco-kunst van William Sweetlove","William Sweetlove is een autoriteit op gebied van kunst uit gerecycleerde materialen. Via zijn kunstwerken, die niet wars zijn van een vleugje humor en ironie, pleit hij voor een meer verantwoord-ecologische aanpak van de wereld.",24/07/2011,"10:00","17:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,100
"Seniorenorkest Eeklo","Harmonie",23/07/2011,"11:00","13:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Chez Leandre - Leandre (ES)","Leandre is een clown die de straat als zijn thuis beschouwt. ‘Chez Leandre’ is een straattheatervoorstelling op professioneel niveau voornamelijk opgebouwd uit improvisaties met het publiek.",22/07/2011,"20:45","21:30","Spaanskasteelplein , Gent",0,100
"Tentoonstelling ‘Van paardenmiddel tot paardendokter’, over de geschiedenis van de paardengeneeskunde","Wat hebben een skelet, elixirs en heiligenaanroepingen met elkaar gemeen? Weinig op het eerste zicht, en toch. Ze hebben allen een plaats in de unieke tentoonstelling over de geschiedenis van de paardengeneeskunde, een bijzonder boeiende wetenschap.",21/07/2011,"11:00","18:00","Universiteit Gent Aula, Voldersstraat 9, Gent",0,100
"Elga - Het Panopticum","Elga – Het Panopticum dompelt jou onder in de historiek van Gent waar revolutionaire figuren het voortouw namen. Dit levend museum vind je op de speelplaats van het SKI palend aan het Baudelohof. Een productie in samenwerking met het Vermeylenfonds.",23/07/2011,"22:00","22:40","secundair kunstintituut - speelplaats - ingang via Baudelohof, Ottogracht 4, Gent",0,50
"Smeltkroes van culturen","Deze wandeling geeft een beeld van het multiculturele oude Gent. Gent is altijd een poort op Europa en de wereld geweest, daarvan zijn vele getuigen terug te vinden. Deze wandeling eindigt in de Orthodoxe kerk die geheel versierd is met fresco’s.",17/07/2011,"14:00","16:30","Café Trefpunt, Bij Sint-Jacobs 18, Gent",0,50
"Rondvaarten in de Gentse binnenstad","Rondvaarten in Gentse binnenstad 50 minuten.  Tijdens de rondvaart eerste 250 pers.: 1 gratis ""La Chouffe"" of 1 ""Liefmans on the rocks""  Vertrek & aankomst Groentenmarkt - Rederij De Gentenaer.  Prijs: € 6,50/Volw.- € 5,50 Gentenaar-€ 3,50 Kind (-12j)",18/07/2011,"11:00","19:00","aan de steiger van Rederij De Gentenaer, Groentenmarkt -, Gent",0,50
"Begijnen, de feministes avant la lettre. ","Samen keren we terug naar de basis en de filosofie van de Begijnen. Gastvrouw: Karlijn Deene, Adviseur Erfgoed Minister Bourgeois.",22/07/2011,"10:30","12:30","Pacificatiehuis, Burgstraat 55, Gent",0,50
"Stand-Up 4 Kids","Uniek in Vlaanderen! Stand-up comedian Piv Huvluv, volgens DE STANDAARD één van de meest authentieke comedians van Vlaanderen, ziet zijn jong publiek voor vol aan. Lol, doordenkers, creatieve vondsten en geslaagde improvisaties.(zie ook www.xlp.be)",21/07/2011,"15:00","16:00","Theater Tinnenpot, Balkonzaal, Tinnenpotstraat 21, Gent",1,100
"Beeldige Borsten","Met de borst vooruit wandelen we langs talloze beelden en afbeeldingen van vrouwen. We zoeken naar schoonheidsidealen vroeger en nu, naar leuke verhalen over opsmuk en geven jullie graag historisch verantwoorde schoonheidstips mee.",18/07/2011,"10:30","12:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Evenement Druk onder stoom","Het MIAT heeft een indrukwekkende historische drukkerij. Enthousiaste vrijwilligers werken aan de drukmachines. Geniet ook van 'drukken' in filmfragmenten uit diverse documentaires en langspeelfilms.",18/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"CAFE CHANTANT (ne kier wa anders) met Fred Geirnaert en Ronny Marino","Met Fred Geirnaert en Ronny Marino",23/07/2011,"11:00","13:00","Zaal van K. Roeivereniging Sport Gent, Kanodreef 1, Gent",1,100
"Images of Villages - Scuba Club Collective (BE-SL)","‘Images of Villages’ is een voorstelling over de creatie van een klein dorp in de stad. Scuba Club Collective geeft het publiek een zintuiglijke belevenis en gaat met hen terug in de tijd.",22/07/2011,"19:30","20:15","Spaanskasteelplein , Gent",0,50
